Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
ROHTAK,7,DEEPENDER SINGH HOODA,INDIAN NATIONAL CONGRESS,DR. ARVIND KUMAR SHARMA,BHARATIYA JANATA PARTY,345298,Result Declared
RAE BARELI,36,RAHUL GANDHI,INDIAN NATIONAL CONGRESS,DINESH PRATAP SINGH,BHARATIYA JANATA PARTY,390030,Result Declared
RAICHUR,6,G. KUMAR NAIK.,INDIAN NATIONAL CONGRESS,RAJA AMARESHWARA NAIK.,BHARATIYA JANATA PARTY,79781,Result Declared
RAIGAD,32,TATKARE SUNIL DATTATREY,NATIONALIST CONGRESS PARTY,ANANT GEETE,SHIV SENA (UDDHAV BALASAHEB THACKREY),82784,Result Declared
RAIGANJ,5,KARTICK CHANDRA PAUL,BHARATIYA JANATA PARTY,KALYANI KRISHNA,ALL INDIA TRINAMOOL CONGRESS,68197,Result Declared
RAJAHMUNDRY,8,DAGGUBATI PURANDHESHWARI,BHARATIYA JANATA PARTY,DR. GUDURI SRINIVAS,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,239139,Result Declared
RAJAMPET,24,P V MIDHUN REDDY,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,NALLARI KIRAN KUMAR REDDY,BHARATIYA JANATA PARTY,76071,Result Declared
RAJKOT,10,PARSHOTTAMBHAI RUPALA,BHARATIYA JANATA PARTY,DHANANI PARESH,INDIAN NATIONAL CONGRESS,484260,Result Declared
RAJMAHAL,1,VIJAY KUMAR HANSDAK,JHARKHAND MUKTI MORCHA,TALA MARANDI,BHARATIYA JANATA PARTY,178264,Result Declared
RAMPUR,7,MOHIBBULLAH,SAMAJWADI PARTY,GHANSHYAM SINGH LODHI,BHARATIYA JANATA PARTY,87434,Result Declared
RAMTEK,9,SHYAMKUMAR (BABALU) DAULAT BARVE,INDIAN NATIONAL CONGRESS,RAJU DEONATH PARVE,SHIV SENA,76768,Result Declared
RANAGHAT,13,JAGANNATH SARKAR,BHARATIYA JANATA PARTY,MUKUT MANI ADHIKARI,ALL INDIA TRINAMOOL CONGRESS,186899,Result Declared
RANCHI,8,SANJAY SETH,BHARATIYA JANATA PARTY,YASHASWINI SAHAY,INDIAN NATIONAL CONGRESS,120512,Result Declared
RATNAGIRI- SINDHUDURG,46,NARAYAN TATU RANE,BHARATIYA JANATA PARTY,VINAYAK BHAURAO RAUT,SHIV SENA (UDDHAV BALASAHEB THACKREY),47858,Result Declared
RAVER,4,KHADSE RAKSHA NIKHIL,BHARATIYA JANATA PARTY,SHRIRAM DAYARAM PATIL,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,272183,Result Declared
ROBERTSGANJ,80,CHHOTELAL,SAMAJWADI PARTY,RINKI SINGH,APNA DAL (SONEYLAL),129234,Result Declared
SAGAR,5,DR. LATA WANKHEDE,BHARATIYA JANATA PARTY,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',INDIAN NATIONAL CONGRESS,471222,Result Declared
SALEM,15,SELVAGANAPATHI T M,DRAVIDA MUNNETRA KAZHAGAM,VIGNESH P,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,70357,Result Declared
