ID,State,Constituency,Total Electors,Polled (%),Total Votes,Phase
435,BIHAR,VAISHALI,1869178,62.59,1170009,6
436,BIHAR,VALMIKI NAGAR,1827281,60.19,1099781,6
437,HARYANA,AMBALA,1996708,67.34,1344503,6
438,HARYANA,BHIWANIMAHENDRAGARH,1793029,65.39,1172526,6
439,HARYANA,FARIDABAD,2430212,60.52,1470649,6
440,HARYANA,GURGAON,2573411,62.03,1596240,6
441,HARYANA,HISAR,1790722,65.27,1168784,6
442,HARYANA,KARNAL,2104229,63.74,1341174,6
443,HARYANA,KURUKSHETRA,1794300,67.01,1202401,6
444,HARYANA,ROHTAK,1889844,65.68,1241201,6
445,HARYANA,SIRSA,1937689,69.77,1351932,6
446,HARYANA,SONIPAT,1766624,63.44,1120791,6
447,JAMMU AND KASHMIR,ANANTNAGRAJOURI,1836576,55.4,1017451,6
448,JHARKHAND,DHANBAD,2285237,62.06,1418264,6
449,JHARKHAND,GIRIDIH,1864660,67.23,1253553,6
450,JHARKHAND,JAMSHEDPUR,1869278,67.68,1265169,6
451,JHARKHAND,RANCHI,2197331,65.36,1436127,6
452,NCT OF DELHI,CHANDNI CHOWK,1645958,58.6,964503,6
453,NCT OF DELHI,EAST DELHI,2120584,59.51,1261988,6
454,NCT OF DELHI,NEW DELHI,1525071,55.43,845285,6
455,NCT OF DELHI,NORTH-EAST DELHI,2463159,62.89,1549202,6
456,NCT OF DELHI,NORTH-WEST DELHI,2567423,57.85,1485378,6
457,NCT OF DELHI,SOUTH DELHI,2291764,56.45,1293598,6
458,NCT OF DELHI,WEST DELHI,2587977,58.79,1521541,6
459,ODISHA,BHUBANESWAR,1672774,64.49,1078810,6
460,ODISHA,CUTTACK,1571622,71.2,1118918,6
461,ODISHA,DHENKANAL,1529785,78.01,1193460,6
462,ODISHA,KEONJHAR,1588179,78.97,1254163,6
463,ODISHA,PURI,1586465,75.43,1196684,6
464,ODISHA,SAMBALPUR,1499728,79.5,1192226,6
465,UTTAR PRADESH,ALLAHABAD,1825730,51.82,946076,6
466,UTTAR PRADESH,AMBEDKAR NAGAR,1911297,61.58,1176920,6
467,UTTAR PRADESH,AZAMGARH,1868165,56.16,1049205,6
468,UTTAR PRADESH,BASTI,1902898,56.67,1078313,6
469,UTTAR PRADESH,BHADOHI,2037925,53.07,1081465,6
470,UTTAR PRADESH,DOMARIYAGANJ,1961845,51.97,1019548,6
471,UTTAR PRADESH,JAUNPUR,1977237,55.59,1099223,6
472,UTTAR PRADESH,LALGANJ,1838882,54.38,1000053,6
473,UTTAR PRADESH,MACHHLISHAHR,1940605,54.49,1057361,6
474,UTTAR PRADESH,PHULPUR,2067043,48.91,1010909,6
475,UTTAR PRADESH,PRATAPGARH,1833312,51.45,943245,6
476,UTTAR PRADESH,SANT KABIR NAGAR,2071964,52.57,1089154,6
477,UTTAR PRADESH,SHRAWASTI,1980381,52.83,1046253,6
478,UTTAR PRADESH,SULTANPUR,1852590,55.63,1030583,6
479,WEST BENGAL,BANKURA,1780580,80.75,1437826,6
480,WEST BENGAL,BISHNUPUR,1754268,85.91,1507040,6
481,WEST BENGAL,GHATAL,1939945,82.17,1593990,6
482,WEST BENGAL,JHARGRAM,1779794,83.47,1485591,6
483,WEST BENGAL,KANTHI,1794537,84.77,1521159,6
484,WEST BENGAL,MEDINIPUR,1811243,81.56,1477309,6
485,WEST BENGAL,PURULIA,1823120,78.39,1429190,6
486,WEST BENGAL,TAMLUK,1850741,84.79,1569233,6
