ID,State,PC_Name,Total Electors,Polled (%),Total Votes,Phase
247,Karnataka,Raichur,2010103,64.66,1299806,3
248,Karnataka,Shimoga,1752885,78.33,1372949,3
249,Karnataka,Uttara Kannada,1641156,76.53,1256027,3
250,Madhya Pradesh,BETUL,1895331,73.53,1393608,3
251,Madhya Pradesh,BHIND,1900654,54.93,1044022,3
252,Madhya Pradesh,BHOPAL,2339411,64.06,1498626,3
253,Madhya Pradesh,GUNA,1889551,72.43,1368554,3
254,Madhya Pradesh,GWALIOR,2154601,62.13,1338708,3
255,Madhya Pradesh,MORENA,2006730,58.97,1183282,3
256,Madhya Pradesh,RAJGARH,1875211,76.04,1425911,3
257,Madhya Pradesh,SAGAR,1745690,65.75,1147866,3
258,Madhya Pradesh,VIDISHA,1945404,74.48,1449010,3
259,Maharashtra,Baramati,2372668,59.5,1411621,3
260,Maharashtra,Hatkanangale,1814277,71.11,1290073,3
261,Maharashtra,Kolhapur,1936403,71.59,1386230,3
262,Maharashtra,Latur,1977042,62.59,1237355,3
263,Maharashtra,Madha,1991454,63.65,1267530,3
264,Maharashtra,Osmanabad,1992737,63.88,1272969,3
265,Maharashtra,Raigad,1668372,60.51,1009567,3
266,Maharashtra,Ratnagiri-Sindhudurg,1451630,62.52,907618,3
267,Maharashtra,Sangli,1868174,62.27,1163353,3
268,Maharashtra,Satara,1889740,63.16,1193492,3
269,Maharashtra,Solapur,2030119,59.19,1201586,3
270,Uttar Pradesh,Agra,2072685,54.08,1120864,3
271,Uttar Pradesh,Aonla,1891713,57.44,1086687,3
272,Uttar Pradesh,Badaun,2008758,54.35,1091697,3
273,Uttar Pradesh,Bareilly,1924434,58.03,1116749,3
274,Uttar Pradesh,Etah,1700524,59.31,1008533,3
275,Uttar Pradesh,Fatehpur Sikri,1798823,57.19,1028791,3
276,Uttar Pradesh,Firozabad,1890772,58.53,1106747,3
277,Uttar Pradesh,Hathras,1938080,55.71,1079731,3
278,Uttar Pradesh,Mainpuri,1790797,58.73,1051758,3
279,Uttar Pradesh,Sambhal,1898202,62.91,1194209,3
280,West Bengal,Jangipur,1805360,75.72,1367014,3
281,West Bengal,Maldaha Dakshin,1782159,76.69,1366728,3
282,West Bengal,Maldaha Uttar,1862035,76.03,1415718,3
283,West Bengal,Murshidabad,1888097,81.52,1539112,3
284,Andhra Pradesh,Amalapuram (SC),1531410,83.85,1284018,4
285,Andhra Pradesh,Anakapalle,1596916,82.03,1309977,4
286,Andhra Pradesh,Ananthapur,1767591,80.51,1423108,4
287,Andhra Pradesh,Araku (ST),1554633,73.68,1145426,4
288,Andhra Pradesh,Bapatla (SC),1506354,85.48,1287704,4
289,Andhra Pradesh,Chittoor(SC),1640202,85.77,1406880,4
290,Andhra Pradesh,Eluru,1637430,83.68,1370153,4
291,Andhra Pradesh,Guntur,1791543,78.81,1411989,4
292,Andhra Pradesh,Hindupur,1656775,84.7,1403259,4
293,Andhra Pradesh,Kadapa,1639066,79.57,1304256,4
294,Andhra Pradesh,Kakinada,1634122,80.3,1312255,4
295,Andhra Pradesh,Kurnoolu,1722857,76.8,1323071,4
296,Andhra Pradesh,Machilipatnam,1539460,84.05,1293935,4
297,Andhra Pradesh,Nandyal,1721013,80.61,1387367,4
298,Andhra Pradesh,Narsapuram,1472923,82.59,1216550,4
